epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7556,1.70424,4.08491,1.40628,0.5235,0.52397,0.4699,0.21978,1.69779,2.06584,1.65393,0.0006618,0.0006618,0.0006618
2,91.4233,1.68645,1.82688,1.45537,0.66752,0.61538,0.67183,0.35222,1.47644,1.9218,1.53139,0.00131751,0.00131751,0.00131751
3,128.633,1.80033,1.859,1.51249,0.07035,0.57692,0.06018,0.02668,1.74295,7.8539,1.82106,0.00196221,0.00196221,0.00196221
4,166.196,1.76389,1.83845,1.55059,0.21785,0.43064,0.14541,0.05968,1.80255,11.0564,1.73561,0.0019505,0.0019505,0.0019505
5,203.659,1.66364,1.53059,1.44175,0.60678,0.77692,0.73764,0.30378,1.95036,1.46481,1.80121,0.001934,0.001934,0.001934
6,241.35,1.62195,1.45765,1.43725,0.69846,0.66154,0.71673,0.38467,1.57157,1.77226,1.61492,0.0019175,0.0019175,0.0019175
7,279.013,1.5627,1.42203,1.41409,0.74701,0.7,0.80077,0.45677,1.38405,1.43446,1.43579,0.001901,0.001901,0.001901
8,315.585,1.49572,1.31425,1.3723,0.85817,0.84615,0.88805,0.44649,1.62967,1.11817,1.63639,0.0018845,0.0018845,0.0018845
9,352.744,1.46087,1.27903,1.35457,0.80023,0.77692,0.83718,0.47455,1.40267,1.12904,1.54233,0.001868,0.001868,0.001868
10,392.094,1.45179,1.16966,1.35224,0.25482,0.20769,0.13894,0.0295,2.99462,2.747,3.35197,0.0018515,0.0018515,0.0018515
11,429.752,1.40794,1.21751,1.29697,0.70717,0.78462,0.81298,0.45337,1.47773,1.21421,1.53713,0.001835,0.001835,0.001835
12,467.358,1.41938,1.19447,1.31703,0.86836,0.80769,0.88685,0.56605,1.21955,1.14044,1.33233,0.0018185,0.0018185,0.0018185
13,506.066,1.33899,1.09252,1.25126,0.7962,0.93161,0.93237,0.58487,1.25023,0.92155,1.39109,0.001802,0.001802,0.001802
14,543.11,1.31527,1.092,1.2369,0.84279,0.82478,0.88976,0.54197,1.29816,1.02246,1.3253,0.0017855,0.0017855,0.0017855
15,578.207,1.37318,1.17315,1.28281,0.88163,0.83846,0.92514,0.54376,1.31135,1.27633,1.41632,0.001769,0.001769,0.001769
16,613.833,1.34381,1.10663,1.25948,0.82086,0.83077,0.89737,0.58733,1.22974,0.94981,1.3486,0.0017525,0.0017525,0.0017525
17,649.282,1.25631,1.01667,1.19371,0.86338,0.82308,0.92686,0.60729,1.17586,0.90022,1.325,0.001736,0.001736,0.001736
18,685.286,1.26939,1.05123,1.259,0.92952,0.88462,0.94894,0.62838,1.20679,0.83906,1.31569,0.0017195,0.0017195,0.0017195
19,721.717,1.27731,0.99547,1.22299,0.90701,0.82533,0.93139,0.59565,1.18429,0.86198,1.26116,0.001703,0.001703,0.001703
